date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:15	278/278	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Apr%202017%2014:55:07%20GMT	http://www.csie.ntnu.edu.tw/robots.txt		(from )
22:55:16	7066/7066	---M--	200	added ('OK')	text/html	etag:%2226bc713-1b9a-54e06eddce3c0%22	http://www.csie.ntnu.edu.tw/~u91029/	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/index.html	(from )
22:55:16	1547/1547	---M--	200	added ('OK')	text/css	etag:%2226bd18c-60b-54aba6c8b6340%22	http://www.csie.ntnu.edu.tw/~u91029/index.css	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/index.css	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:16	2511/2511	---M--	200	added ('OK')	image/png	etag:%2226bc6d9-9cf-53181dd6cf1c0%22	http://www.csie.ntnu.edu.tw/~u91029/indexAlgorithm.png	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/indexAlgorithm.png	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:17	56503/56503	---M--	200	added ('OK')	text/html	etag:%2226bc6dc-dcb7-54c7598620ac0%22	http://www.csie.ntnu.edu.tw/~u91029/Algorithm.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Algorithm.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:18	110973/110973	---M--	200	added ('OK')	text/html	etag:%2226bc6de-1b17d-54e06deb92840%22	http://www.csie.ntnu.edu.tw/~u91029/AlgorithmDesign.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/AlgorithmDesign.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:20	30852/30852	---M--	200	added ('OK')	text/html	etag:%2226bc644-7884-54b27925e13c0%22	http://www.csie.ntnu.edu.tw/~u91029/Simulation.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Simulation.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:20	29634/29634	---M--	200	added ('OK')	text/html	etag:%2226bc6e2-73c2-54b505bd97c80%22	http://www.csie.ntnu.edu.tw/~u91029/Backtracking.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Backtracking.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:22	49770/49770	---M--	200	added ('OK')	text/html	etag:%2226bc6dd-c26a-54a5823c14740%22	http://www.csie.ntnu.edu.tw/~u91029/DynamicProgramming.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/DynamicProgramming.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:24	28311/28311	---M--	200	added ('OK')	text/html	etag:%2226bc5f7-6e97-543fc334c20c0%22	http://www.csie.ntnu.edu.tw/~u91029/MaximumSubarray.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/MaximumSubarray.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:24	12548/12548	---M--	200	added ('OK')	text/html	etag:%2226bd187-3104-5462037e1dc80%22	http://www.csie.ntnu.edu.tw/~u91029/LocationAllocationProblem.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/LocationAllocationProblem.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:24	41285/41285	---M--	200	added ('OK')	text/html	etag:%2226bc715-a145-5462037f11ec0%22	http://www.csie.ntnu.edu.tw/~u91029/KnapsackProblem.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/KnapsackProblem.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
